PRODUCT ID,PRODUCT NAME,PRODUCT DESCRIPTION,PRODUCT PRICE,PRODUCT QUANTITY
ABCDE123D5,PRODUCT0,PRODUCT 0 DESCRIPTION,1.99,50
ABCDE12345,PRODUCT1,PRODUCT 1 DESCRIPTION,2.99,50
A2CDE12345,PRODUCT2,PRODUCT 2 DESCRIPTION,3.99,50
AB3DE12345,PRODUCT3,PRODUCT 3 DESCRIPTION,4.99,50
ABC4E12345,PRODUCT4,PRODUCT 4 DESCRIPTION,5.99,50
ABCDEA2345,PRODUCT5,PRODUCT 5 DESCRIPTION,5.99,50
ABCDE1B345,PRODUCT6,PRODUCT 6 DESCRIPTION,6.99,50
ABCDE12C45,PRODUCT7,PRODUCT 7 DESCRIPTION,7.99,50
ABCDE1234E,PRODUCT8,PRODUCT 8 DESCRIPTION,8.99,50
12CDE12345,PRODUCT9,PRODUCT 9 DESCRIPTION,10.99,50
AB34E12345,PRODUCT10,PRODUCT 10 DESCRIPTION,11.99,50
